,map,time,hour,weekday,week,timegroup,timegroupstr,date,inflow_counts,outflow_counts,loop_counts
0,2020-01-01 00,2020-01-01 00:00:00,0,Wednesday,1,2,12am - 4am,2020-01-01,0.0,0.0,0.0
1,2020-01-01 01,2020-01-01 01:00:00,1,Wednesday,1,2,12am - 4am,2020-01-01,0.0,0.0,0.0
2,2020-01-01 02,2020-01-01 02:00:00,2,Wednesday,1,2,12am - 4am,2020-01-01,0.0,0.0,0.0
3,2020-01-01 03,2020-01-01 03:00:00,3,Wednesday,1,2,12am - 4am,2020-01-01,0.0,0.0,0.0
4,2020-01-01 04,2020-01-01 04:00:00,4,Wednesday,1,0,daytime,2020-01-01,0.0,0.0,0.0
5,2020-01-01 05,2020-01-01 05:00:00,5,Wednesday,1,0,daytime,2020-01-01,0.0,0.0,0.0
6,2020-01-01 06,2020-01-01 06:00:00,6,Wednesday,1,0,daytime,2020-01-01,0.0,0.0,0.0
7,2020-01-01 07,2020-01-01 07:00:00,7,Wednesday,1,0,daytime,2020-01-01,0.0,0.0,0.0
8,2020-01-01 08,2020-01-01 08:00:00,8,Wednesday,1,0,daytime,2020-01-01,0.0,0.0,0.0
9,2020-01-01 09,2020-01-01 09:00:00,9,Wednesday,1,0,daytime,2020-01-01,0.0,0.0,0.0
10,2020-01-01 10,2020-01-01 10:00:00,10,Wednesday,1,0,daytime,2020-01-01,0.0,0.0,0.0
11,2020-01-01 11,2020-01-01 11:00:00,11,Wednesday,1,0,daytime,2020-01-01,0.0,0.0,0.0
12,2020-01-01 12,2020-01-01 12:00:00,12,Wednesday,1,0,daytime,2020-01-01,0.0,0.0,0.0
13,2020-01-01 13,2020-01-01 13:00:00,13,Wednesday,1,0,daytime,2020-01-01,0.0,0.0,0.0
14,2020-01-01 14,2020-01-01 14:00:00,14,Wednesday,1,0,daytime,2020-01-01,0.0,0.0,0.0
15,2020-01-01 15,2020-01-01 15:00:00,15,Wednesday,1,0,daytime,2020-01-01,0.0,0.0,0.0
16,2020-01-01 16,2020-01-01 16:00:00,16,Wednesday,1,0,daytime,2020-01-01,0.0,0.0,0.0
17,2020-01-01 17,2020-01-01 17:00:00,17,Wednesday,1,0,daytime,2020-01-01,0.0,0.0,0.0
18,2020-01-01 18,2020-01-01 18:00:00,18,Wednesday,1,0,daytime,2020-01-01,0.0,0.0,0.0
19,2020-01-01 19,2020-01-01 19:00:00,19,Wednesday,1,0,daytime,2020-01-01,0.0,0.0,0.0
20,2020-01-01 20,2020-01-01 20:00:00,20,Wednesday,1,1,8pm - 12am,2020-01-01,0.0,0.0,0.0
21,2020-01-01 21,2020-01-01 21:00:00,21,Wednesday,1,1,8pm - 12am,2020-01-01,0.0,0.0,0.0
22,2020-01-01 22,2020-01-01 22:00:00,22,Wednesday,1,1,8pm - 12am,2020-01-01,0.0,0.0,0.0
23,2020-01-01 23,2020-01-01 23:00:00,23,Wednesday,1,1,8pm - 12am,2020-01-01,2.0,1.0,0.0
24,2020-01-02 00,2020-01-02 00:00:00,0,Thursday,1,2,12am - 4am,2020-01-02,0.0,1.0,0.0
25,2020-01-02 01,2020-01-02 01:00:00,1,Thursday,1,2,12am - 4am,2020-01-02,0.0,0.0,0.0
26,2020-01-02 02,2020-01-02 02:00:00,2,Thursday,1,2,12am - 4am,2020-01-02,0.0,0.0,0.0
27,2020-01-02 03,2020-01-02 03:00:00,3,Thursday,1,2,12am - 4am,2020-01-02,1.0,0.0,0.0
28,2020-01-02 04,2020-01-02 04:00:00,4,Thursday,1,0,daytime,2020-01-02,0.0,0.0,0.0
29,2020-01-02 05,2020-01-02 05:00:00,5,Thursday,1,0,daytime,2020-01-02,12.0,1.0,0.0
30,2020-01-02 06,2020-01-02 06:00:00,6,Thursday,1,0,daytime,2020-01-02,26.0,4.0,0.0
31,2020-01-02 07,2020-01-02 07:00:00,7,Thursday,1,0,daytime,2020-01-02,50.0,16.0,2.0
32,2020-01-02 08,2020-01-02 08:00:00,8,Thursday,1,0,daytime,2020-01-02,128.0,57.0,13.0
33,2020-01-02 09,2020-01-02 09:00:00,9,Thursday,1,0,daytime,2020-01-02,61.0,24.0,1.0
34,2020-01-02 10,2020-01-02 10:00:00,10,Thursday,1,0,daytime,2020-01-02,16.0,19.0,1.0
35,2020-01-02 11,2020-01-02 11:00:00,11,Thursday,1,0,daytime,2020-01-02,19.0,23.0,0.0
36,2020-01-02 12,2020-01-02 12:00:00,12,Thursday,1,0,daytime,2020-01-02,26.0,25.0,3.0
37,2020-01-02 13,2020-01-02 13:00:00,13,Thursday,1,0,daytime,2020-01-02,27.0,28.0,2.0
38,2020-01-02 14,2020-01-02 14:00:00,14,Thursday,1,0,daytime,2020-01-02,26.0,31.0,1.0
39,2020-01-02 15,2020-01-02 15:00:00,15,Thursday,1,0,daytime,2020-01-02,27.0,35.0,4.0
40,2020-01-02 16,2020-01-02 16:00:00,16,Thursday,1,0,daytime,2020-01-02,23.0,65.0,0.0
