,hex_id_8,night_pop,day_pop,venue_count,business_count,LotArea,ComArea,ResArea,OfficeArea,RetailArea,FactryArea,NumBldgs,boro_name
42,882a10002dfffff,331.0,108.0,0,10,114328830.0,298871.0,5529331.0,73408.0,1603.0,0.0,150.0,Bronx
43,882a100111fffff,4849.0,10533.0,1,607,7650595.0,4702874.0,1554476.0,786173.0,37717.0,366746.0,739.0,Bronx
44,882a100f49fffff,589.0,7100.0,0,108,17836556.0,3604364.0,0.0,612597.0,7880.0,0.0,102.0,Bronx
45,882a100029fffff,0.0,10.0,0,8,74250000.0,270021.0,0.0,66208.0,1603.0,0.0,100.0,Bronx
46,882a10011bfffff,4945.0,4799.0,1,196,21510811.0,1143893.0,2152757.0,554278.0,102390.0,0.0,841.0,Bronx
47,882a100a59fffff,2845.0,3684.0,0,43,22044709.0,407285.0,939818.0,0.0,13560.0,0.0,201.0,Bronx
48,882a100021fffff,0.0,1.0,0,0,90087500.0,275021.0,0.0,66208.0,1603.0,0.0,109.0,Bronx
49,882a100a43fffff,241.0,393.0,0,8,5412706.0,178237.0,157140.0,0.0,0.0,0.0,73.0,Bronx
50,882a10003dfffff,0.0,3.0,0,0,74250000.0,270021.0,0.0,66208.0,1603.0,0.0,100.0,Bronx
51,882a100119fffff,3674.0,7366.0,1,106,6607693.0,2531357.0,979395.0,225853.0,1111439.0,0.0,724.0,Bronx
52,882a100123fffff,20274.0,19951.0,3,294,16370567.0,2742920.0,7469852.0,1083911.0,264500.0,0.0,675.0,Bronx
53,882a1001e1fffff,29701.0,18699.0,4,473,7336320.0,2378987.0,10259933.0,74545.0,747318.0,21525.0,743.0,Bronx
54,882a1001cdfffff,10971.0,8812.0,3,357,20079470.0,670432.0,4269106.0,363443.0,249180.0,700.0,1480.0,Bronx
55,882a100ac1fffff,39634.0,26707.0,1,836,5540182.0,2382987.0,11711738.0,605086.0,713222.0,8050.0,886.0,Bronx
56,882a10012dfffff,10177.0,13452.0,0,133,31424612.0,1245635.0,5206888.0,763041.0,19716.0,0.0,218.0,Bronx
57,882a100ac9fffff,31930.0,35038.0,3,1117,9248011.0,4967405.0,9165466.0,2109892.0,1667201.0,0.0,773.0,Bronx
58,882a100a9bfffff,14125.0,14001.0,3,377,5577395.0,3306870.0,4598166.0,530255.0,174505.0,575970.0,776.0,Bronx
59,882a10012bfffff,17280.0,10528.0,2,355,19441313.0,1309889.0,5837145.0,89222.0,297608.0,0.0,621.0,Bronx
60,882a100ae3fffff,23813.0,19374.0,1,475,9050335.0,1847224.0,5678675.0,153154.0,418440.0,4710.0,275.0,Bronx
61,882a1001d1fffff,5385.0,2084.0,0,56,10351814.0,84109.0,1360253.0,4960.0,10505.0,0.0,1536.0,Bronx
62,882a10006dfffff,151.0,47.0,0,6,97075144.0,287046.0,57708.0,66208.0,1603.0,4875.0,139.0,Bronx
63,882a100ac3fffff,18999.0,17316.0,1,554,5962729.0,3108417.0,6622326.0,1041994.0,416439.0,524578.0,740.0,Bronx
64,882a100ab9fffff,22061.0,21608.0,2,524,6945080.0,4871764.0,8300877.0,2463810.0,398413.0,12000.0,220.0,Bronx
65,882a100183fffff,0.0,54.0,1,3,4225328.0,2150.0,0.0,2150.0,0.0,0.0,10.0,Bronx
66,882a100acbfffff,21209.0,17790.0,9,888,5696913.0,2817151.0,6605190.0,438341.0,550254.0,103450.0,1161.0,Bronx
67,882a1001ddfffff,2590.0,2054.0,0,52,7158158.0,293891.0,812737.0,114191.0,7560.0,0.0,775.0,Bronx
68,882a100025fffff,6867.0,3851.0,0,59,20250070.0,1416490.0,5638454.0,124108.0,663513.0,0.0,147.0,Bronx
69,882a101893fffff,4096.0,2865.0,2,178,4311155.0,604276.0,1268680.0,76330.0,83881.0,119489.0,720.0,Bronx
70,882a10016dfffff,1277.0,385.0,1,38,28954027.0,25029.0,690815.0,6512.0,0.0,0.0,295.0,Bronx
71,882a100103fffff,12504.0,5762.0,1,220,5707935.0,351614.0,2684700.0,156417.0,95421.0,2784.0,1969.0,Bronx
72,882a1001c7fffff,3150.0,2117.0,1,155,4783808.0,443831.0,805695.0,111821.0,56557.0,146447.0,571.0,Bronx
73,882a1001cbfffff,3213.0,1202.0,0,38,7281793.0,215842.0,1238253.0,1946.0,26758.0,0.0,732.0,Bronx
74,882a100195fffff,0.0,0.0,0,0,4225328.0,2150.0,0.0,2150.0,0.0,0.0,10.0,Bronx
75,882a1001e7fffff,21558.0,10891.0,7,519,10253837.0,1350357.0,8702632.0,50874.0,881589.0,5000.0,1769.0,Bronx
76,882a10002bfffff,0.0,68.0,0,3,74250000.0,270021.0,0.0,66208.0,1603.0,0.0,100.0,Bronx
77,882a1018b5fffff,2442.0,1980.0,1,318,23253004.0,461120.0,958214.0,13949.0,25540.0,0.0,442.0,Bronx
78,882a100157fffff,9408.0,9583.0,0,129,13782983.0,3311144.0,14866527.0,1327473.0,197930.0,35136.0,1369.0,Bronx
79,882a100115fffff,8065.0,5787.0,0,203,7071638.0,1975371.0,2312761.0,410198.0,68706.0,6372.0,1358.0,Bronx
80,882a1018b3fffff,0.0,0.0,0,0,42721327.0,88188.0,0.0,0.0,0.0,0.0,56.0,Bronx
81,882a100a91fffff,27851.0,20134.0,3,544,6228297.0,2632319.0,9275469.0,703011.0,471425.0,1915.0,1006.0,Bronx
82,882a100133fffff,11755.0,6178.0,1,287,21408578.0,961910.0,3132133.0,109386.0,215838.0,18316.0,826.0,Bronx
83,882a100155fffff,11491.0,6934.0,3,173,13454604.0,2325264.0,15866640.0,1204009.0,160331.0,33274.0,1409.0,Bronx
84,882a100f41fffff,171.0,665.0,0,0,20642444.0,5646372.0,0.0,0.0,0.0,0.0,234.0,Bronx
85,882a1000adfffff,501.0,1563.0,0,17,7942361.0,742988.0,113820.0,71480.0,2016.0,0.0,322.0,Bronx
86,882a100063fffff,0.0,55.0,0,4,74250000.0,270021.0,0.0,66208.0,1603.0,0.0,100.0,Bronx
87,882a1001dbfffff,1050.0,378.0,0,15,3799841.0,1000.0,368530.0,0.0,0.0,0.0,271.0,Bronx
88,882a10014bfffff,4539.0,3368.0,1,182,5031728.0,575512.0,1450921.0,53705.0,68862.0,120723.0,1105.0,Bronx
89,882a10013dfffff,5725.0,4261.0,1,92,16192780.0,961009.0,2390335.0,507929.0,35372.0,0.0,155.0,Bronx
90,882a100a97fffff,18940.0,14189.0,0,355,6773549.0,2839379.0,7271412.0,764243.0,310767.0,627315.0,608.0,Bronx
91,882a100117fffff,7163.0,19976.0,2,875,7586836.0,5089541.0,2498766.0,509494.0,133079.0,660.0,1739.0,Bronx
92,882a10011dfffff,9214.0,5200.0,0,197,5760107.0,401384.0,2479827.0,235594.0,71045.0,0.0,1948.0,Bronx
93,882a100a53fffff,14533.0,12705.0,8,335,53215099.0,1620834.0,6166620.0,101749.0,493419.0,5473.0,877.0,Bronx
94,882a100ad9fffff,15407.0,9046.0,1,298,22019334.0,1754287.0,5582598.0,378598.0,271992.0,26162.0,661.0,Bronx
95,882a100a5bfffff,1014.0,1034.0,0,32,43317646.0,452712.0,181911.0,13436.0,52943.0,0.0,73.0,Bronx
96,882a1001e9fffff,10830.0,9254.0,4,869,6312503.0,1817551.0,3252657.0,738731.0,452539.0,110418.0,1587.0,Bronx
97,882a100f4dfffff,420.0,5882.0,2,297,8986541.0,2926523.0,53233.0,160052.0,29319.0,1681515.0,372.0,Bronx
98,882a100337fffff,834.0,1405.0,0,108,25098702.0,497948.0,297555.0,27938.0,40928.0,127511.0,305.0,Bronx
99,882a100139fffff,18570.0,17929.0,3,427,6081594.0,1369060.0,5177912.0,730664.0,350813.0,8800.0,843.0,Bronx
100,882a100addfffff,24558.0,18726.0,1,594,6143593.0,2157459.0,8051625.0,1018679.0,599339.0,0.0,1062.0,Bronx
101,882a1001c3fffff,7802.0,5602.0,1,361,4966694.0,624741.0,2287887.0,244883.0,222423.0,4870.0,1859.0,Bronx
102,882a100121fffff,20926.0,16342.0,3,472,7250541.0,3195660.0,8074316.0,956412.0,152200.0,17280.0,587.0,Bronx
103,882a100a57fffff,14189.0,11984.0,5,565,7789957.0,1838437.0,9878329.0,117264.0,197031.0,0.0,456.0,Bronx
104,882a100a19fffff,18645.0,19147.0,6,650,7284298.0,2417253.0,6791166.0,511422.0,622519.0,124328.0,605.0,Bronx
105,882a1018b7fffff,5645.0,4015.0,2,149,23552998.0,414520.0,2897855.0,79901.0,50138.0,0.0,856.0,Bronx
106,882a10015bfffff,0.0,0.0,0,1,96472120.0,282171.0,0.0,66208.0,1603.0,0.0,104.0,Bronx
107,882a100165fffff,0.0,147.0,0,10,63634927.0,162468.0,0.0,0.0,0.0,0.0,88.0,Bronx
108,882a100153fffff,7836.0,10908.0,0,341,33262042.0,4590642.0,18740729.0,410057.0,1665546.0,0.0,339.0,Bronx
109,882a100187fffff,7179.0,2512.0,0,44,7654018.0,151945.0,2708772.0,12724.0,9686.0,0.0,887.0,Bronx
110,882a100061fffff,0.0,2.0,0,0,74250000.0,270021.0,0.0,66208.0,1603.0,0.0,100.0,Bronx
111,882a1001e3fffff,17575.0,11001.0,7,379,5129322.0,988768.0,5021386.0,60512.0,349135.0,0.0,1537.0,Bronx
112,882a100a8dfffff,31038.0,17113.0,6,541,5038723.0,2291521.0,9456297.0,349196.0,480916.0,45133.0,567.0,Bronx
113,882a1001e5fffff,20749.0,13301.0,2,326,11004432.0,1578591.0,11786089.0,157771.0,529997.0,13932.0,1537.0,Bronx
114,882a100127fffff,31021.0,26557.0,3,483,11823704.0,3589016.0,10013512.0,509644.0,332031.0,0.0,766.0,Bronx
115,882a1001c1fffff,6349.0,2783.0,0,80,5103551.0,98850.0,2535227.0,1630.0,38459.0,0.0,1942.0,Bronx
116,882a100adbfffff,16907.0,11866.0,0,160,5492139.0,875506.0,3525126.0,71278.0,61120.0,11029.0,745.0,Bronx
117,882a100141fffff,11161.0,5745.0,1,94,6192927.0,242356.0,3041451.0,35422.0,59970.0,0.0,2221.0,Bronx
118,882a100147fffff,15070.0,6396.0,0,220,8073682.0,721292.0,5804020.0,15037.0,131361.0,89390.0,2263.0,Bronx
119,882a100a81fffff,41882.0,27753.0,2,863,5962874.0,3140693.0,11892789.0,1232744.0,800728.0,117750.0,683.0,Bronx
120,882a100f65fffff,2582.0,2301.0,0,59,14383716.0,1391402.0,1185533.0,20232.0,31162.0,905484.0,142.0,Bronx
121,882a100a85fffff,21707.0,11598.0,0,318,5694073.0,1176358.0,7431886.0,251706.0,309677.0,0.0,492.0,Bronx
122,882a1001a5fffff,10161.0,9066.0,0,152,13280149.0,2873507.0,3219081.0,308912.0,28865.0,534465.0,439.0,Bronx
123,882a100159fffff,2704.0,1519.0,0,38,28753067.0,589958.0,13211398.0,43986.0,146476.0,0.0,270.0,Bronx
124,882a100067fffff,0.0,24.0,0,6,75472120.0,270021.0,0.0,66208.0,1603.0,0.0,101.0,Bronx
125,882a100a87fffff,29909.0,16899.0,7,472,6585759.0,4456420.0,10165489.0,1154641.0,319096.0,0.0,397.0,Bronx
126,882a100027fffff,258.0,89.0,0,11,15875417.0,5000.0,19669.0,0.0,0.0,0.0,21.0,Bronx
127,882a100169fffff,5360.0,4210.0,6,225,29438973.0,957658.0,2982968.0,113257.0,102907.0,64780.0,1190.0,Bronx
128,882a100131fffff,10158.0,6588.0,0,289,34689095.0,1226011.0,4020911.0,73976.0,325597.0,0.0,340.0,Bronx
129,882a1001a9fffff,16754.0,10488.0,0,202,6785854.0,1261639.0,5901608.0,171893.0,627763.0,9536.0,599.0,Bronx
130,882a100f61fffff,849.0,3440.0,3,219,14782692.0,3368021.0,133700.0,90005.0,18316.0,2344668.0,256.0,Bronx
131,882a1001a3fffff,2071.0,2508.0,0,36,17518170.0,2647831.0,517213.0,428425.0,0.0,0.0,116.0,Bronx
132,882a100ad7fffff,20691.0,11167.0,1,367,9289733.0,1745271.0,6040093.0,499990.0,364847.0,30090.0,1394.0,Bronx
133,882a100aebfffff,20621.0,9760.0,0,168,8136614.0,1046950.0,6851690.0,370257.0,123332.0,15000.0,515.0,Bronx
134,882a100107fffff,21929.0,10462.0,1,393,21476392.0,1337885.0,7181566.0,248265.0,461319.0,87036.0,1429.0,Bronx
135,882a10010dfffff,16171.0,7154.0,2,334,6221619.0,897628.0,4780170.0,52890.0,267040.0,6030.0,2310.0,Bronx
136,882a1001bdfffff,6456.0,2097.0,1,78,13509781.0,96424.0,1956669.0,5726.0,26515.0,12099.0,1305.0,Bronx
137,882a100a93fffff,5551.0,6943.0,2,205,10303747.0,2814813.0,1305001.0,179481.0,175714.0,1174307.0,230.0,Bronx
138,882a10018dfffff,2858.0,4983.0,0,87,5767352.0,1812540.0,551095.0,103528.0,443959.0,239994.0,532.0,Bronx
139,882a100ad5fffff,6548.0,9186.0,0,162,8741741.0,1759516.0,2034694.0,508924.0,40536.0,565101.0,241.0,Bronx
140,882a100135fffff,9909.0,21753.0,5,351,32513689.0,2929235.0,3297914.0,1420822.0,217567.0,13070.0,782.0,Bronx
141,882a100a95fffff,24859.0,17795.0,3,485,6443690.0,3161599.0,9935043.0,1219809.0,795084.0,79390.0,1112.0,Bronx
142,882a1001c9fffff,4823.0,1895.0,0,64,23981785.0,112632.0,1892335.0,4466.0,14913.0,0.0,1257.0,Bronx
143,882a100ab1fffff,6744.0,20606.0,5,351,7477710.0,5861751.0,3558713.0,1803127.0,588031.0,772911.0,262.0,Bronx
144,882a100161fffff,944.0,458.0,2,39,21517599.0,100952.0,495016.0,800.0,18347.0,0.0,235.0,Bronx
145,882a100a49fffff,681.0,2311.0,0,17,9763124.0,514229.0,0.0,0.0,0.0,0.0,33.0,Bronx
146,882a1001d7fffff,7319.0,3885.0,0,80,9390154.0,367269.0,2266045.0,29833.0,72439.0,0.0,1574.0,Bronx
147,882a1001b9fffff,1940.0,584.0,0,13,5904806.0,1340.0,1022229.0,540.0,0.0,0.0,474.0,Bronx
148,882a100185fffff,12634.0,9963.0,0,190,7996790.0,2137777.0,5745066.0,288008.0,447275.0,135093.0,1342.0,Bronx
149,882a100a1bfffff,18145.0,13317.0,0,469,18369422.0,3307896.0,5929931.0,1973716.0,321221.0,124328.0,425.0,Bronx
150,882a100a83fffff,26996.0,21443.0,0,508,6078143.0,4450862.0,8181309.0,1210320.0,462350.0,383959.0,778.0,Bronx
151,882a1001d5fffff,9011.0,5731.0,4,220,10996635.0,674168.0,2778403.0,90155.0,162575.0,0.0,1151.0,Bronx
152,882a10016bfffff,14759.0,12514.0,1,484,22366823.0,1640591.0,4255229.0,104653.0,317627.0,0.0,1002.0,Bronx
153,882a100ac7fffff,39217.0,22255.0,3,695,5385042.0,2638976.0,11353970.0,1382773.0,483383.0,90884.0,840.0,Bronx
154,882a100163fffff,3435.0,1157.0,0,19,18905421.0,223368.0,1187095.0,24493.0,1250.0,0.0,124.0,Bronx
155,882a10014dfffff,8504.0,5001.0,1,219,5652626.0,446402.0,2466013.0,120726.0,125340.0,28235.0,1678.0,Bronx
156,882a1001edfffff,11505.0,14846.0,1,371,6303921.0,1562174.0,3046935.0,185293.0,274627.0,6000.0,1895.0,Bronx
157,882a100065fffff,0.0,2.0,0,0,96472120.0,282171.0,0.0,66208.0,1603.0,0.0,104.0,Bronx
158,882a100abdfffff,10052.0,9141.0,0,192,7383615.0,4291385.0,4665508.0,711862.0,1045020.0,82650.0,153.0,Bronx
159,882a1001ebfffff,9312.0,12712.0,1,405,6086454.0,2156585.0,2793128.0,557511.0,225796.0,603880.0,1096.0,Bronx
160,882a100145fffff,15776.0,8250.0,1,514,6284584.0,1139279.0,4352045.0,170898.0,335298.0,76472.0,2147.0,Bronx
161,882a1001adfffff,24388.0,11992.0,0,323,5442097.0,1081679.0,6707681.0,110530.0,436991.0,9536.0,945.0,Bronx
162,882a100ad3fffff,17365.0,14937.0,2,349,6027721.0,1769776.0,5250667.0,347206.0,270614.0,196519.0,1215.0,Bronx
163,882a100189fffff,2377.0,3756.0,0,40,6956151.0,619683.0,601706.0,157902.0,427761.0,0.0,407.0,Bronx
164,882a100f69fffff,1045.0,4717.0,1,203,6043133.0,3804937.0,172004.0,220219.0,22132.0,1729583.0,198.0,Bronx
165,882a1001c5fffff,6277.0,8784.0,1,323,8402980.0,2373955.0,2260777.0,1272523.0,196888.0,60694.0,1317.0,Bronx
166,882a100f6dfffff,24555.0,17605.0,1,504,6664080.0,2078562.0,8829958.0,420934.0,432793.0,150518.0,868.0,Bronx
167,882a100ad1fffff,14362.0,11469.0,1,322,8161342.0,2663031.0,5483181.0,917826.0,495285.0,308994.0,585.0,Bronx
168,882a100aabfffff,19862.0,9221.0,1,230,8938557.0,958903.0,7255872.0,43326.0,208238.0,136370.0,329.0,Bronx
169,882a100143fffff,10556.0,9365.0,0,104,7565295.0,1126430.0,3424120.0,7260.0,59288.0,0.0,689.0,Bronx
170,882a100125fffff,14923.0,14469.0,2,179,9840511.0,2433135.0,4937379.0,134232.0,94566.0,0.0,524.0,Bronx
171,882a1001d3fffff,2946.0,1330.0,1,50,7580865.0,244346.0,402514.0,5185.0,4393.0,0.0,820.0,Bronx
172,882a100a5dfffff,3865.0,4254.0,0,91,7765979.0,484931.0,2853003.0,55200.0,0.0,0.0,402.0,Bronx
173,882a100a89fffff,25430.0,20033.0,1,763,6148149.0,3007375.0,7502689.0,1512431.0,163404.0,161281.0,542.0,Bronx
174,882a100a51fffff,3992.0,11782.0,3,121,6688629.0,1653874.0,2436974.0,13636.0,63448.0,0.0,396.0,Bronx
175,882a100069fffff,41.0,13.0,0,2,74341209.0,270021.0,14314.0,66208.0,1603.0,0.0,110.0,Bronx
176,882a10608bfffff,3071.0,1247.0,0,111,9248939.0,66249.0,1827001.0,54038.0,6151.0,0.0,970.0,Staten Island
177,882a1062a5fffff,236.0,71.0,0,0,34765455.0,17463.0,132181.0,0.0,0.0,0.0,131.0,Staten Island
178,882a106283fffff,5176.0,6191.0,0,209,6863076.0,693987.0,2219091.0,72217.0,385790.0,0.0,1046.0,Staten Island
179,882a106201fffff,4987.0,3747.0,1,318,6923386.0,722346.0,1967482.0,68766.0,550206.0,0.0,1775.0,Staten Island
180,882a10600bfffff,0.0,2.0,0,0,33102650.0,98775.0,0.0,21575.0,0.0,0.0,19.0,Staten Island
181,882a107537fffff,682.0,5770.0,0,50,11555747.0,860579.0,246702.0,53917.0,0.0,0.0,217.0,Staten Island
182,882a107531fffff,5904.0,2182.0,1,128,17303576.0,172843.0,1834624.0,19847.0,84538.0,880.0,1483.0,Staten Island
183,882a106049fffff,4537.0,2034.0,0,34,10158416.0,265815.0,1609753.0,146815.0,0.0,0.0,1006.0,Staten Island
184,882a10623dfffff,5668.0,2118.0,0,38,5669656.0,107465.0,2123714.0,3517.0,0.0,0.0,1409.0,Staten Island
185,882a106081fffff,766.0,241.0,0,15,8086610.0,11376.0,567150.0,426.0,0.0,0.0,269.0,Staten Island
186,882a1062bdfffff,2724.0,2774.0,0,71,7983501.0,176110.0,1223935.0,7810.0,66450.0,0.0,852.0,Staten Island
187,882a106087fffff,469.0,388.0,0,20,8087102.0,198884.0,517993.0,192960.0,0.0,0.0,186.0,Staten Island
188,882a106259fffff,3777.0,3787.0,0,80,13156262.0,360046.0,1243801.0,142987.0,15431.0,0.0,927.0,Staten Island
189,882a106e63fffff,4932.0,4083.0,0,68,10807211.0,225927.0,2288429.0,143460.0,1100.0,0.0,1216.0,Staten Island
190,882a10635bfffff,2889.0,1274.0,0,29,9019629.0,220292.0,1034732.0,24918.0,3885.0,9967.0,499.0,Staten Island
191,882a1062ddfffff,3527.0,4756.0,0,367,10186724.0,988662.0,1224227.0,133200.0,2800.0,0.0,828.0,Staten Island
192,882a1060e1fffff,4464.0,1846.0,0,72,6518230.0,214594.0,1793826.0,108990.0,76904.0,0.0,1168.0,Staten Island
193,882a106053fffff,6486.0,5759.0,0,105,39777435.0,869122.0,2897790.0,22617.0,488582.0,0.0,1373.0,Staten Island
194,882a1060c7fffff,5387.0,2577.0,1,178,6461332.0,238872.0,2222484.0,78690.0,138852.0,1530.0,1422.0,Staten Island
195,882a10600dfffff,677.0,1117.0,0,14,7600170.0,306176.0,240440.0,2183.0,263076.0,0.0,247.0,Staten Island
196,882a10603bfffff,0.0,154.0,0,7,28016035.0,114760.0,0.0,1400.0,20360.0,37500.0,66.0,Staten Island
197,882a106217fffff,6319.0,2431.0,0,89,8069667.0,105096.0,2130374.0,50634.0,38122.0,0.0,1522.0,Staten Island
